"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2947","SC-005: Ошибка валидации price (0)","sales-portal-api","Wed Dec 17 21:54:21 UTC 2025","passed","Wed Dec 17 21:54:24 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","4993","SC-058: Empty products arrays","sales-portal-api","Wed Dec 17 21:52:40 UTC 2025","passed","Wed Dec 17 21:52:45 UTC 2025","[API] [Sales Portal] [Orders] [Create - Negative checks]","","",""
"","976","SC-012: Сортировка по дате создания (новые сначала)","sales-portal-api","Wed Dec 17 21:55:13 UTC 2025","broken","Wed Dec 17 21:55:14 UTC 2025","[API][Sales Portal][Products][Positive] Get All Products","","",""
"","0","[API][Sales Portal][Notifications][Positive] Mark one notification","sales-portal-api","Wed Dec 17 21:52:20 UTC 2025","skipped","Wed Dec 17 21:52:20 UTC 2025","","","",""
"","2844","SC-015: Successful receipt of goods by valid ID","sales-portal-api","Wed Dec 17 21:54:37 UTC 2025","passed","Wed Dec 17 21:54:39 UTC 2025","[API] [Sales Portal] [Products] [Get by Id]","","",""
"","2707","SC-005: Ошибка валидации price (нечисловое значение)","sales-portal-api","Wed Dec 17 21:54:25 UTC 2025","passed","Wed Dec 17 21:54:27 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","5207","SC-061: Non-existent product ID in array","sales-portal-api","Wed Dec 17 21:52:46 UTC 2025","passed","Wed Dec 17 21:52:52 UTC 2025","[API] [Sales Portal] [Orders] [Create - Negative checks]","","",""
"","12119","SC-001: Успешное создание товара (price = 99999)","sales-portal-api","Wed Dec 17 21:53:59 UTC 2025","passed","Wed Dec 17 21:54:11 UTC 2025","[API] [Sales Portal] [Products] > [Создание продуктов с валидным телом запроса]","","",""
"","9042","SC-001: Успешное создание товара (price = 1)","sales-portal-api","Wed Dec 17 21:53:54 UTC 2025","passed","Wed Dec 17 21:54:03 UTC 2025","[API] [Sales Portal] [Products] > [Создание продуктов с валидным телом запроса]","","",""
"","17545","Update status of Order to => Received","sales-portal-api","Wed Dec 17 21:54:11 UTC 2025","passed","Wed Dec 17 21:54:29 UTC 2025","[API] [Sales Portal] [Orders] [Update Status]","","",""
"","934","SC-010: Поиск по названию товара","sales-portal-api","Wed Dec 17 21:55:13 UTC 2025","broken","Wed Dec 17 21:55:14 UTC 2025","[API][Sales Portal][Products][Positive] Get All Products","","",""
"","13995","Add Delivery Details for Order","sales-portal-api","Wed Dec 17 21:52:55 UTC 2025","passed","Wed Dec 17 21:53:09 UTC 2025","[API] [Sales Portal] [Orders] [Update Delivery Details]","","",""
"","21980","SC-102: Status update In Process → Canceled","sales-portal-api","Wed Dec 17 21:52:32 UTC 2025","passed","Wed Dec 17 21:52:54 UTC 2025","[API] [Sales Portal] [Orders] [Create - Positive checks]","","",""
"","6867","Delete Customer by ID for the second time via API","sales-portal-api","Wed Dec 17 21:52:06 UTC 2025","passed","Wed Dec 17 21:52:12 UTC 2025","[API] [Sales Portal] [Customers] [Delete]","","",""
"","823","SC-017: Invalid product ID format (23 characters)","sales-portal-api","Wed Dec 17 21:54:41 UTC 2025","passed","Wed Dec 17 21:54:42 UTC 2025","[API] [Sales Portal] [Products] [Get by Id]","","",""
"","34133","Delete multiple comments from Order","sales-portal-api","Wed Dec 17 21:53:24 UTC 2025","broken","Wed Dec 17 21:53:58 UTC 2025","[API] [Sales Portal] [Orders] [Add Comment]","","",""
"","7192","Invalid address flat => zero value","sales-portal-api","Wed Dec 17 21:53:27 UTC 2025","passed","Wed Dec 17 21:53:34 UTC 2025","[API] [Sales Portal] [Orders] [Update Delivery Details] > [Add invalid delivery address details to Order]","","",""
"","1943","SC-002: Ошибка валидации notes (недопустимые символы)","sales-portal-api","Wed Dec 17 21:54:29 UTC 2025","passed","Wed Dec 17 21:54:31 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","11877","Add multiple comments to Order","sales-portal-api","Wed Dec 17 21:52:20 UTC 2025","passed","Wed Dec 17 21:52:32 UTC 2025","[API] [Sales Portal] [Orders] [Add Comment]","","",""
"","1909","SC-042: Невалидный формат ID клиента (""123"")","sales-portal-api","Wed Dec 17 21:52:13 UTC 2025","passed","Wed Dec 17 21:52:15 UTC 2025","[API] [Sales Portal] [Get customer] > Получение клиента с невалидным ID","","",""
"","1794","SC-001: Успешное создание товара со всеми полями","sales-portal-api","Wed Dec 17 21:54:31 UTC 2025","passed","Wed Dec 17 21:54:32 UTC 2025","[API] [Sales Portal] [Products] [Create]","","",""
"","5758","SC-032: Отсутствие обязательных полей (phone)","sales-portal-api","Wed Dec 17 21:52:00 UTC 2025","passed","Wed Dec 17 21:52:05 UTC 2025","[API] [Sales Portal] [Customer Create] > Создание клиента с невалидным телом запроса","","",""
"","1269","SC-005: Ошибка валидации amount (1000)","sales-portal-api","Wed Dec 17 21:54:27 UTC 2025","passed","Wed Dec 17 21:54:29 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","6050","SC-027: Успешное создание клиента","sales-portal-api","Wed Dec 17 21:51:59 UTC 2025","passed","Wed Dec 17 21:52:05 UTC 2025","[API] [Sales Portal] [Customer Create] > Создание клиента с валидным телом запроса","","",""
"","6903","SC-001: Успешное создание товара со всеми полями","sales-portal-api","Wed Dec 17 21:53:36 UTC 2025","passed","Wed Dec 17 21:53:43 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","2947","SC-003: Ошибка валидации name (пустая строка)","sales-portal-api","Wed Dec 17 21:54:21 UTC 2025","passed","Wed Dec 17 21:54:24 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","11803","Update status of Order to => Partially Received","sales-portal-api","Wed Dec 17 21:53:27 UTC 2025","passed","Wed Dec 17 21:53:39 UTC 2025","[API] [Sales Portal] [Orders] [Update Status]","","",""
"","0","[API] [Sales Portal]","sales-portal-api","Wed Dec 17 21:54:33 UTC 2025","skipped","Wed Dec 17 21:54:33 UTC 2025","","","",""
"","3945","SC-017: Invalid product ID format (non-hex character 'g')","sales-portal-api","Wed Dec 17 21:54:44 UTC 2025","passed","Wed Dec 17 21:54:48 UTC 2025","[API] [Sales Portal] [Products] [Get by Id]","","",""
"","5978","SC-057: Missing required field products","sales-portal-api","Wed Dec 17 21:52:40 UTC 2025","passed","Wed Dec 17 21:52:46 UTC 2025","[API] [Sales Portal] [Orders] [Create - Negative checks]","","",""
"","1109","SC-005: Отсутствует обязательное поле amount","sales-portal-api","Wed Dec 17 21:54:27 UTC 2025","passed","Wed Dec 17 21:54:29 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","7977","SC-001: Успешное создание товара (имя 3 символа)","sales-portal-api","Wed Dec 17 21:53:43 UTC 2025","passed","Wed Dec 17 21:53:51 UTC 2025","[API] [Sales Portal] [Products] > [Создание продуктов с валидным телом запроса]","","",""
"","3051","SC-028: Создание клиента без опционального поля notes","sales-portal-api","Wed Dec 17 21:52:04 UTC 2025","passed","Wed Dec 17 21:52:07 UTC 2025","[API] [Sales Portal] [Customer Create] > Создание клиента с валидным телом запроса","","",""
"","5680","Add very long comment to Order","sales-portal-api","Wed Dec 17 21:52:21 UTC 2025","passed","Wed Dec 17 21:52:26 UTC 2025","[API] [Sales Portal] [Orders] [Add Comment]","","",""
"","2650","SC-017: Invalid product ID format (literal null)","sales-portal-api","Wed Dec 17 21:54:42 UTC 2025","passed","Wed Dec 17 21:54:44 UTC 2025","[API] [Sales Portal] [Products] [Get by Id]","","",""
"","10922","SC-001: Успешное создание товара (notes 250 символов)","sales-portal-api","Wed Dec 17 21:54:03 UTC 2025","passed","Wed Dec 17 21:54:14 UTC 2025","[API] [Sales Portal] [Products] > [Создание продуктов с валидным телом запроса]","","",""
"","3787","SC-047: Обновление с невалидным email (""invalid"")","sales-portal-api","Wed Dec 17 21:52:17 UTC 2025","passed","Wed Dec 17 21:52:20 UTC 2025","[API] [Sales Portal] [Update customer]","","",""
"","9820","Delete non-existing comment from Order","sales-portal-api","Wed Dec 17 21:52:53 UTC 2025","passed","Wed Dec 17 21:53:02 UTC 2025","[API] [Sales Portal] [Orders] [Add Comment]","","",""
"","830","Succesed all notifications marked","sales-portal-api","Wed Dec 17 21:52:20 UTC 2025","passed","Wed Dec 17 21:52:21 UTC 2025","[API][Sales Portal][Notifications][Positive] Mark all notifications","","",""
"","6929","SC-022: Обновление с отрицательным amount","sales-portal-api","Wed Dec 17 21:55:38 UTC 2025","passed","Wed Dec 17 21:55:45 UTC 2025","[API] [Sales Portal] [Products] [Update]","","",""
"","6862","Invalid address house => zero value","sales-portal-api","Wed Dec 17 21:53:21 UTC 2025","passed","Wed Dec 17 21:53:27 UTC 2025","[API] [Sales Portal] [Orders] [Update Delivery Details] > [Add invalid delivery address details to Order]","","",""
"","3342","SC-045: Обновление одного поля (email)","sales-portal-api","Wed Dec 17 21:52:16 UTC 2025","passed","Wed Dec 17 21:52:20 UTC 2025","[API] [Sales Portal] [Update customer]","","",""
"","3832","SC-031: Дубликат email","sales-portal-api","Wed Dec 17 21:52:05 UTC 2025","passed","Wed Dec 17 21:52:09 UTC 2025","[API] [Sales Portal] [Customer Create] > Создание клиента с дублирующимся email","","",""
"","1265","SC-005: Ошибка валидации price (100000)","sales-portal-api","Wed Dec 17 21:54:23 UTC 2025","passed","Wed Dec 17 21:54:25 UTC 2025","[API] [Sales Portal] [Products] > [Невозможно создать продукт с невалидным телом запроса]","","",""
"","2035","SC-029: Невалидный email формат","sales-portal-api","Wed Dec 17 21:52:04 UTC 2025","passed","Wed Dec 17 21:52:06 UTC 2025","[API] [Sales Portal] [Customer Create] > Создание клиента с невалидным телом запроса","","",""
"","3544","SC-018: Полное обновление товара","sales-portal-api","Wed Dec 17 21:55:23 UTC 2025","passed","Wed Dec 17 21:55:27 UTC 2025","[API] [Sales Portal] [Products] [Update]","","",""
"","11129","Invalid address country => empty string","sales-portal-api","Wed Dec 17 21:53:09 UTC 2025","passed","Wed Dec 17 21:53:20 UTC 2025","[API] [Sales Portal] [Orders] [Update Delivery Details] > [Add invalid delivery address details to Order]","","",""
"","781","SC-017: Invalid product ID format (empty string)","sales-portal-api","Wed Dec 17 21:54:42 UTC 2025","passed","Wed Dec 17 21:54:42 UTC 2025","[API] [Sales Portal] [Products] [Get by Id]","","",""
